ID,NAME,NUMBER OF CREDITS,MAX STUDENT,DAY,SESSION1,SESSION2
ABC,Nhap mon lap trinh,3,100,TUE,S1,S4
ABC,Nhap mon lap trinh,3,100,WED,S2,S5
ABC,Nhap mon lap trinh,3,100,THU,S3,S6
ABC,Nhap mon lap trinh,3,100,FRI,S4,S7
ABC,Nhap mon lap trinh,3,100,SAT,S5,S8
ABC,Nhap mon lap trinh,3,100,SUN,S6,S9
ABC,Nhap mon lap trinh,3,100,MON,S7,S10
ABC,Nhap mon lap trinh,3,100,TUE,S8,S11
ABC,Nhap mon lap trinh,3,100,WED,S9,S12
ABC,Nhap mon lap trinh,3,100,THU,S10,S13
ABC,Nhap mon lap trinh,3,100,FRI,S11,S14
ABC,Nhap mon lap trinh,3,100,SAT,S12,S15
ABC,Nhap mon lap trinh,3,100,SUN,S13,S16
ABC,Nhap mon lap trinh,3,100,MON,S14,S17
ABC,Nhap mon lap trinh,3,100,TUE,S15,S18
ABC,Nhap mon lap trinh,3,100,WED,S16,S19
ABC,Nhap mon lap trinh,3,100,THU,S17,S20
